,title,salary_standardized,location,habilidades
2910,Data Scientists and Sr. Data Scientists,113000.0,United States,"('python', 'sql', 'powerbi', 'excel', 'machine_learning')"
2911,IT Data Specialist (US),113100.0,United States,"('sql',)"
2917,"Azure Data Engineer (Office based: Nashville, TN or Cambridge, MA)",116508.0,United States,"('python', 'sql', 'azure')"
2918,Software Development Engineer - Data,175999.5,United States,"('python', 'sql', 'powerbi', 'tableau', 'azure', 'machine_learning')"
2949,Online Data Analyst | Remote Part Time Opportunity in US,23920.0,United States,"('machine_learning',)"
2950,"Senior Manager, Analytics – External Intelligence",154500.0,United States,"('python', 'sql', 'powerbi', 'tableau')"
2951,Principal Data Scientist,174000.0,"Air Force Academy, CO","('python', 'sql', 'machine_learning')"
2952,Health Data Analyst Principal - Remote,122850.0,"Cheyenne, WY","('sql',)"
2964,Operations Analyst,90000.0,"Cheyenne, WY","('sql', 'excel', 'tableau')"
2965,"Data Scientist, Fundamental Equity Technology Team, Associate",131500.0,United States,"('python', 'sql', 'tableau', 'azure')"
2981,Healthcare Analytics Data Analyst III,94200.0,Missouri,"('python', 'sql', 'powerbi', 'excel')"
2982,Service Quality Analyst,92399.5,United States,"('python', 'sql', 'tableau')"
2983,"Data Analyst III, Coronary Therapies",138600.0,United States,"('excel', 'tableau')"
2984,"Fraud Analytics and Modeling, Senior Data Scientist",135519.0,"Kansas City, MO","('python', 'sql', 'machine_learning')"
2996,"Data Analyst, Management Data Analysis",83500.0,United States,"('sql', 'excel')"
3000,UM Business Functional Data Analyst - Assistant Vice President,121125.0,United States,"('python', 'sql', 'excel')"
3016,Data Analyst,101898.0,  United States   ,"('python', 'sql', 'excel', 'machine_learning', 'aws')"
3068,Data Analyst- 5448131,130000.0,"Bentonville, AR","('sql', 'azure')"
3069,ETL Data Analyst,101014.0,"Colorado Springs, CO","('sql',)"
3084,"Sr. Data Scientist, Analytics - Ads",155000.0,United States,"('sql', 'machine_learning')"
3085,Land Use Lead Research & Data Analyst,80664.0,"Denver, CO","('python', 'sql')"
3098,Data Scientist / Portfolio Risk Manager,93150.0,"Denver, CO","('python', 'sql', 'powerbi', 'excel', 'machine_learning')"
3099,Data Analyst III,94200.0,  Missouri   ,"('sql', 'excel')"
3100,"Lead Data Scientist, Fraud",125552.5,"Englewood, CO","('python', 'sql', 'machine_learning')"
3108,Data Scientist II,102500.0,"Englewood, CO","('python', 'sql', 'powerbi', 'tableau', 'machine_learning')"
3109,Healthcare Analytics Data Analyst II,75550.0,Missouri,"('python', 'sql', 'powerbi')"
3114,Business Intelligence Data Analyst,143000.0,United States,"('python', 'sql', 'powerbi', 'tableau', 'azure', 'machine_learning', 'aws')"
3138,Data Engineer,102500.0,"Stillwater, OK","('sql', 'excel', 'azure', 'machine_learning', 'aws')"
3144,Data Analyst (In Office),60000.0,"Jenks, OK","('powerbi', 'excel')"
3153,Data Analyst (Marketing),68500.0,"Edgewater, CO","('sql', 'tableau')"
3154,Senior Data Analyst,100000.0,"Avon, CO","('python', 'sql', 'powerbi', 'tableau', 'aws')"
3155,Data Analyst II,107817.0,"Sedalia, CO","('python', 'sql', 'powerbi', 'excel', 'tableau', 'machine_learning')"
3160,"Sr Analyst, Business Intelligence",113300.0,United States,"('python', 'sql', 'powerbi', 'tableau', 'azure')"
3161,Sr. Data Analyst,98433.5,"Federal Heights, CO","('sql',)"
3165,Lead Analyst – Data Science,135000.0,"Commerce City, CO","('python', 'sql', 'powerbi', 'tableau', 'r', 'machine_learning')"
3166,Senior Business Intelligence Analyst - Pharmacy Analytics,93400.0,"Cheyenne, WY","('sql', 'powerbi')"
3167,Senior Reporting and Analytics Engineer with AWS QuickSight and Tableau Expertise,106080.0,"Greenwood Village, CO","('sql', 'tableau', 'aws')"
3172,Program Evaluation and Reporting Analyst,70250.0,Anywhere,"('excel',)"
3178,Data Analyst - Health and Human Services,72500.0,"Cheyenne, WY","('sql', 'powerbi', 'excel')"
3181,Senior People Analytics Analyst,148000.0,Anywhere,"('python', 'sql', 'powerbi', 'tableau')"
3182,Audit Analytics Specialist,80900.0,Anywhere,"('sql', 'excel', 'machine_learning')"
3185,Healthcare Data Analyst,90095.2,"Denver, CO","('sql', 'excel', 'tableau')"
3186,Healthcare Data Analyst,90095.2,"Santa Fe, NM","('sql', 'excel', 'tableau')"
3187,Healthcare Data Analyst,90095.2,"Cheyenne, WY","('sql', 'excel', 'tableau')"
3188,Affordability Data Science Analyst,74676.0,"Denver, CO","('sql', 'tableau')"
3189,Healthcare Data Analyst - Provider Analytics,98657.215,United States,"('python', 'sql', 'excel')"
